;Noms_R;ID_ech;Bioreacteur;Inoculum;Material;Day;Jour;Campaign;Camp_graph;Camp_graphique;Camp_Day_Mat;graphe_ATB;Camp_Day;Camp_Jour;campaign  ;Campagne  ;Dosage;FQ1;FQ2;ATB_type;Type_ATB;ATB_camp;ATB;;16S (log absolu);qnrA;qnrB;qnrC;qnrD;qnrS
VD-DBIbiofilm-ech83_ACAAAA-JNFP8_L001;BJ07B4C;83;B4;Biofilm + Waste Water;C;Day 07;Jour 07;B;B;B;BJ07C;FQ2 (high);BJ07;BJ07;autre;autre;;;;0;0;0;0;;7.656142499;-4.858362479;-2.981497544;-7.714996801;-3.080589053;-4.060617757
VD-DBIbiofilm-ech84_CTCCAG-JNFP8_L001;BJ07B1P;84;B1;Waste Water;P;Day 07;Jour 07;B;B;B;BJ07P;FQ1+FQ2 (high);BJ07;BJ07;autre;autre;;;;0;0;0;/;;6.981766761;-4.509299509;-1.995930967;-7.040621064;-2.027170719;-3.437159099
VD-DBIbiofilm-ech85_GGTGTT-JNFP8_L001;BJ07B2P;85;B2;Waste Water;P;Day 07;Jour 07;B;B;B;BJ07P;0=témoin (high);BJ07;BJ07;autre;autre;;;;0;0;0;/;;6.708697884;-4.609587213;-2.055862945;-6.767552186;-2.22768219;-3.365951576
VD-DBIbiofilm-ech86_CGGGAG-JNFP8_L001;BJ07B3P;86;B3;Biofilm + Waste Water;P;Day 07;Jour 07;B;B;B;BJ07P;FQ1 (high);BJ07;BJ07;autre;autre;;;;0;0;0;/;;7.266463172;-4.95641445;-2.365927644;-7.325317474;-2.623053693;-3.66222617
VD-DBIbiofilm-ech87_TGGTAG-JNFP8_L001;BJ07B4P;87;B4;Biofilm + Waste Water;P;Day 07;Jour 07;B;B;B;BJ07P;Inoc;BJ07;BJ07;autre;autre;;;;0;0;0;/;;6.451437023;-4.545106411;-1.822118442;-6.510291325;-2.22976038;-3.516873028
VD-DBIbiofilm-ech90_AACCGA-JNFP8_L001;BJ14B1C;90;B1;Waste Water;C;Day 14;Jour 14;B;B;B;BJ14C;0=témoin (low);BJ14;BJ14;autre;autre;;;;0;0;0;/;;8.263407745;-5.173543831;-3.181142888;-8.322262047;-2.635322866;-4.455397699
VD-DBIbiofilm-ech91_GGCAAT-JNFP8_L001;BJ14B2C;91;B2;Waste Water;C;Day 14;Jour 14;B;B;B;BJ14C;FQ1 (low);BJ14;BJ14;autre;autre;;;;0;0;0;/;;7.599820644;-5.030415499;-2.756529234;-7.658674947;-2.92819848;-3.985632603
VD-DBIbiofilm-ech92_CCTTGA-JNFP8_L001;BJ14B3C;92;B3;Biofilm + Waste Water;C;Day 14;Jour 14;B;B;B;BJ14C;FQ2 (low);BJ14;BJ14;autre;autre;;;;0;0;0;0;;8.447760122;-5.731777253;-3.575872334;-8.506614425;-6.206092126;-4.634408546
VD-DBIbiofilm-ech93_GTTTCT-JNFP8_L001;BJ14B4C;93;B4;Biofilm + Waste Water;C;Day 14;Jour 14;B;B;B;BJ14C;FQ1+FQ2 (low);BJ14;BJ14;autre;autre;;;;0;0;0;0;;8.49324153;-4.913492317;-3.474354064;-8.552095833;-2.605723041;-4.39434331
VD-DBIbiofilm-ech94_ACACGC-JNFP8_L001;BJ14B1P;94;B1;Waste Water;P;Day 14;Jour 14;B;B;B;BJ14P;0=témoin (low);BJ14;BJ14;autre;autre;;;;0;0;0;/;;7.701059918;-4.671191037;-2.315757123;-7.759914221;-2.437530626;-3.985343601
VD-DBIbiofilm-ech95_GTGGGG-JNFP8_L001;BJ14B2P;95;B2;Waste Water;P;Day 14;Jour 14;B;B;B;BJ14P;FQ1 (low);BJ14;BJ14;autre;autre;;;;0;0;0;/;;7.961057151;-6.661465134;-2.729632824;-8.019911454;-2.858936119;-4.256014602
VD-DBIbiofilm-ech96_CACCCA-JNFP8_L001;BJ14B3P;96;B3;Biofilm + Waste Water;P;Day 14;Jour 14;B;B;B;BJ14P;FQ2 (low);BJ14;BJ14;autre;autre;;;;0;0;0;/;;7.542465019;-5.17361633;-2.277615418;-7.601319321;-2.914118554;-3.775389844
DBIbiofilm98_CCGTCA-K37J4_L001;EJ14B1C11;98;B1;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;0 high;FQ1+FQ2 (low);High 0 ;High 0 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;0;0;Control;Témoin;Control E;0;;7.691525711;-4.987781697;-2.658421937;-7.750380014;-2.68050891;-5.495851911
DBIbiofilm99_CATCCT-K37J4_L001;EJ14B2C11;99;B2;Biofilm + Waste Water;C;Day 14;Jour 14;E;E;E;FQ1 high;Inoc;H FQ1 ;H FQ1 ;E (FQ at 5mg/L);E (FQ à 5mg/L);H;1;0;FQ1;FQ1;FQ1 E;1;;7.634480003;-6.852101073;-3.360699604;-7.693334306;-2.218187783;-3.735477711
